Sample in Buffer,Sample in Window,TRIGGER,responses[127:0],done_sig,count_a[31:0],count_b[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,1,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
1,1,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
2,2,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
3,3,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
4,4,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
5,5,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
6,6,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
7,7,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
8,8,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
9,9,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
10,10,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
11,11,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
12,12,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
13,13,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
14,14,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
15,15,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
16,16,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
17,17,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
18,18,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
19,19,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
20,20,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
21,21,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
22,22,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
23,23,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
24,24,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
25,25,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
26,26,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
27,27,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
28,28,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
29,29,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
30,30,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
31,31,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
32,32,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
33,33,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
34,34,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
35,35,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
36,36,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
37,37,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
38,38,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
39,39,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
40,40,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
41,41,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
42,42,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
43,43,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
44,44,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
45,45,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
46,46,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
47,47,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
48,48,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
49,49,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
50,50,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
51,51,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
52,52,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
53,53,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
54,54,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
55,55,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
56,56,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
57,57,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
58,58,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
59,59,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
60,60,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
61,61,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
62,62,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
63,63,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
64,64,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
65,65,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
66,66,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
67,67,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
68,68,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
69,69,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
70,70,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
71,71,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
72,72,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
73,73,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
74,74,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
75,75,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
76,76,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
77,77,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
78,78,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
79,79,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
80,80,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
81,81,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
82,82,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
83,83,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
84,84,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
85,85,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
86,86,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
87,87,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
88,88,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
89,89,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
90,90,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
91,91,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
92,92,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
93,93,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
94,94,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
95,95,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
96,96,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
97,97,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
98,98,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
99,99,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
100,100,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
101,101,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
102,102,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
103,103,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
104,104,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
105,105,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
106,106,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
107,107,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
108,108,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
109,109,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
110,110,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
111,111,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
112,112,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
113,113,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
114,114,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
115,115,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
116,116,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
117,117,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
118,118,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
119,119,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
120,120,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
121,121,0,4ff9a0bbd988c942b074f0f462d5457f,1,0004b206,00068c49
