Sample in Buffer,Sample in Window,TRIGGER,responses[127:0],done_sig,count_a[31:0],count_b[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,1,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
1,1,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
2,2,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
3,3,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
4,4,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
5,5,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
6,6,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
7,7,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
8,8,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
9,9,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
10,10,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
11,11,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
12,12,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
13,13,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
14,14,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
15,15,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
16,16,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
17,17,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
18,18,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
19,19,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
20,20,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
21,21,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
22,22,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
23,23,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
24,24,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
25,25,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
26,26,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
27,27,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
28,28,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
29,29,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
30,30,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
31,31,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
32,32,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
33,33,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
34,34,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
35,35,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
36,36,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
37,37,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
38,38,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
39,39,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
40,40,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
41,41,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
42,42,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
43,43,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
44,44,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
45,45,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
46,46,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
47,47,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
48,48,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
49,49,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
50,50,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
51,51,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
52,52,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
53,53,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
54,54,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
55,55,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
56,56,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
57,57,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
58,58,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
59,59,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
60,60,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
61,61,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
62,62,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
63,63,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
64,64,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
65,65,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
66,66,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
67,67,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
68,68,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
69,69,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
70,70,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
71,71,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
72,72,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
73,73,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
74,74,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
75,75,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
76,76,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
77,77,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
78,78,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
79,79,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
80,80,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
81,81,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
82,82,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
83,83,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
84,84,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
85,85,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
86,86,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
87,87,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
88,88,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
89,89,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
90,90,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
91,91,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
92,92,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
93,93,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
94,94,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
95,95,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
96,96,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
97,97,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
98,98,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
99,99,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
100,100,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
101,101,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
102,102,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
103,103,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
104,104,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
105,105,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
106,106,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
107,107,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
108,108,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
109,109,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
110,110,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
111,111,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
112,112,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
113,113,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
114,114,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
115,115,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
116,116,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
117,117,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
118,118,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
119,119,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
120,120,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
121,121,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
122,122,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
123,123,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
124,124,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
125,125,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
126,126,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
127,127,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
128,128,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
129,129,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
130,130,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
131,131,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
132,132,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
133,133,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
134,134,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
135,135,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
136,136,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
137,137,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
138,138,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
139,139,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
140,140,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
141,141,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
142,142,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
143,143,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
144,144,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
145,145,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
146,146,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
147,147,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
148,148,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
149,149,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
150,150,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
151,151,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
152,152,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
153,153,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
154,154,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
155,155,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
156,156,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
157,157,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
158,158,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
159,159,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
160,160,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
161,161,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
162,162,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
163,163,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
164,164,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
165,165,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
166,166,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
167,167,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
168,168,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
169,169,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
170,170,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
171,171,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
172,172,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
173,173,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
174,174,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
175,175,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
176,176,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
177,177,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
178,178,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
179,179,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
180,180,0,f42e76a2f9585ebf21c0af7e625e0c40,1,0001c74f,0000770c
