Sample in Buffer,Sample in Window,TRIGGER,responses[127:0],done_sig,count_a[31:0],count_b[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,1,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
1,1,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
2,2,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
3,3,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
4,4,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
5,5,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
6,6,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
7,7,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
8,8,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
9,9,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
10,10,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
11,11,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
12,12,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
13,13,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
14,14,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
15,15,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
16,16,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
17,17,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
18,18,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
19,19,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
20,20,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
21,21,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
22,22,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
23,23,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
24,24,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
25,25,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
26,26,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
27,27,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
28,28,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
29,29,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
30,30,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
31,31,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
32,32,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
33,33,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
34,34,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
35,35,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
36,36,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
37,37,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
38,38,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
39,39,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
40,40,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
41,41,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
42,42,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
43,43,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
44,44,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
45,45,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
46,46,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
47,47,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
48,48,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
49,49,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
50,50,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
51,51,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
52,52,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
53,53,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
54,54,0,f42e76a2f9585ebf29c0af6e625e0c40,1,0001f60d,0000100f
