Sample in Buffer,Sample in Window,TRIGGER,responses[127:0],done_sig,count_a[31:0],count_b[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,1,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
1,1,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
2,2,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
3,3,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
4,4,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
5,5,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
6,6,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
7,7,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
8,8,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
9,9,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
10,10,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
11,11,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
12,12,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
13,13,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
14,14,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
15,15,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
16,16,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
17,17,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
18,18,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
19,19,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
20,20,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
21,21,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
22,22,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
23,23,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
24,24,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
25,25,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
26,26,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
27,27,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
28,28,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
29,29,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
30,30,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
31,31,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
32,32,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
33,33,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
34,34,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
35,35,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
36,36,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
37,37,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
38,38,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
39,39,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
40,40,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
41,41,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
42,42,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
43,43,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
44,44,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
45,45,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
46,46,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
47,47,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
48,48,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
49,49,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
50,50,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
51,51,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
52,52,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
53,53,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
54,54,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
55,55,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
56,56,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
57,57,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
58,58,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
59,59,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
60,60,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
61,61,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
62,62,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
63,63,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
64,64,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
65,65,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
66,66,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
67,67,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
68,68,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
69,69,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
70,70,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
71,71,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
72,72,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
73,73,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
74,74,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
75,75,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
76,76,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
77,77,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
78,78,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
79,79,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
80,80,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
81,81,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
82,82,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
83,83,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
84,84,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
85,85,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
86,86,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
87,87,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
88,88,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
89,89,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
90,90,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
91,91,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
92,92,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
93,93,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
94,94,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
95,95,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
96,96,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
97,97,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
98,98,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
99,99,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
100,100,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
101,101,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
102,102,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
103,103,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
104,104,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
105,105,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
106,106,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
107,107,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
108,108,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
109,109,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
110,110,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
111,111,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
112,112,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
113,113,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
114,114,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
115,115,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
116,116,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
117,117,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
118,118,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
119,119,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
120,120,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
121,121,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
122,122,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
123,123,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
124,124,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
125,125,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
126,126,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
127,127,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
128,128,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
129,129,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
130,130,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
131,131,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
132,132,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
133,133,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
134,134,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
135,135,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
136,136,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
137,137,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
138,138,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
139,139,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
140,140,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
141,141,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
142,142,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
143,143,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
144,144,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
145,145,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
146,146,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
147,147,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
148,148,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
149,149,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
150,150,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
151,151,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
152,152,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
153,153,0,f42a76a279585ebf69c0af7e625e0c40,1,0001e79c,00006070
