Sample in Buffer,Sample in Window,TRIGGER,responses[127:0],done_sig,count_a[31:0],count_b[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,1,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
1,1,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
2,2,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
3,3,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
4,4,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
5,5,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
6,6,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
7,7,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
8,8,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
9,9,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
10,10,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
11,11,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
12,12,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
13,13,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
14,14,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
15,15,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
16,16,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
17,17,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
18,18,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
19,19,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
20,20,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
21,21,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
22,22,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
23,23,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
24,24,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
25,25,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
26,26,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
27,27,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
28,28,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
29,29,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
30,30,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
31,31,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
32,32,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
33,33,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
34,34,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
35,35,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
36,36,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
37,37,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
38,38,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
39,39,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
40,40,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
41,41,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
42,42,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
43,43,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
44,44,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
45,45,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
46,46,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
47,47,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
48,48,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
49,49,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
50,50,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
51,51,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
52,52,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
53,53,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
54,54,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
55,55,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
56,56,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
57,57,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
58,58,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
59,59,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
60,60,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
61,61,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
62,62,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
63,63,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
64,64,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
65,65,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
66,66,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
67,67,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
68,68,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
69,69,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
70,70,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
71,71,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
72,72,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
73,73,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
74,74,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
75,75,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
76,76,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
77,77,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
78,78,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
79,79,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
80,80,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
81,81,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
82,82,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
83,83,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
84,84,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
85,85,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
86,86,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
87,87,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
88,88,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
89,89,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
90,90,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
91,91,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
92,92,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
93,93,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
94,94,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
95,95,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
96,96,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
97,97,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
98,98,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
99,99,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
100,100,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
101,101,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
102,102,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
103,103,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
104,104,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
105,105,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
106,106,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
107,107,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
108,108,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
109,109,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
110,110,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
111,111,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
112,112,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
113,113,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
114,114,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
115,115,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
116,116,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
117,117,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
118,118,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
119,119,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
120,120,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
121,121,0,f40a76a2f9585ebf29c0af7e625e0c40,1,0001eab7,000070c6
